datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
25-Jan-2022 01:10:00,54662.4619425455,1350322.17062323,13657513.7815216,600204521358.374,337280415142.663,18427749714.2816,3651526544.5274,3730799.00286366
25-Jan-2022 01:15:00,54324.5027443359,1352584.34116913,13275392.1464145,607643171375.859,329716351076.503,17772512624.5171,3557464486.39402,3800688.6308739
25-Jan-2022 01:20:00,53958.6158678823,1353858.9116043,12879837.9756951,614957003894.503,322240536386.099,17143559541.7775,3458480528.89378,3872867.14751488
25-Jan-2022 01:25:00,53597.9038847014,1354198.08828683,12477276.8093153,622209997014.671,314795821503.449,16552352893.9939,3356701485.5486,3941646.14802422
25-Jan-2022 01:30:00,53211.7617101906,1353461.13751642,12075147.2801158,629241064834.132,307558355301.417,15993369386.6847,3255367087.11286,4009353.85864498
25-Jan-2022 01:35:00,52841.8958438621,1348574.52922145,11702085.9621978,635091004339.009,301537782817.601,15564906549.9502,3167314494.78606,4059716.47497651
25-Jan-2022 01:40:00,52455.9343567019,1340694.36497939,11378284.2508471,639607467930.875,296891320780.435,15238581876.278,3094946650.21127,4097403.92582924
25-Jan-2022 01:45:00,52056.2762004744,1331908.73956804,11087755.6132306,643464840980.244,292915588686.239,14957485391.8691,3032603507.31927,4132088.66952625
25-Jan-2022 01:50:00,51327.4629973158,1400266.10448618,10316421.4890862,665084238195.16,269941761241.897,12874729758.113,2771435104.88085,4485425.58129968
25-Jan-2022 01:55:00,50383.9646939768,1485366.83797513,8591039.83319744,705772651247.987,227175034362.784,10198490479.0991,2299292929.07546,4947646.03541597
25-Jan-2022 02:00:00,49193.9790240925,1545673.504418,6935178.18659997,740959810246.509,190285502408.08,8320413305.6235,1862945765.22913,5283206.63104327
25-Jan-2022 02:05:00,48382.7882054679,1529354.54587836,5896995.43406815,759053955079.681,171681056791.401,7693572189.72927,1608524727.46377,5302524.55479315
25-Jan-2022 02:10:00,47835.7950513227,1497256.95205682,5360440.88756742,765824781011.421,164803488065.36,7533686415.79512,1483417445.20413,5259792.85205559
25-Jan-2022 02:15:00,47307.8246338884,1467402.1189935,5037805.35521803,768942421417.038,161659682710.398,7466089434.93017,1414326327.10484,5230417.83213765
